customer_id,transaction_id,account_id,device_id,ip_address,merchant_id,transaction_date,age,gender,region,tenure_months,annual_spend_usd,num_purchases,avg_order_value,returns_count,loyalty_tier,last_purchase_days,email_opt_in,churned
C00062,TXN000062,ACC00062,DEV00062,34.175.45.87,MER030,2023-05-06,55.0,Female,East,90,19319.35,69,308.93,8,Bronze,254.0,True,0
C00063,TXN000063,ACC00063,DEV00063,251.17.63.81,MER035,2023-06-23,42.0,Male,South,44,2028.29,15,135.0,4,Bronze,344.0,True,0
C00064,TXN000064,ACC00064,DEV00064,130.63.247.2,MER019,2023-11-04,20.0,Female,West,117,18791.29,71,316.48,0,Gold,24.0,True,0
C00065,TXN000065,ACC00065,DEV00065,241.136.10.30,MER008,2023-10-25,70.0,Male,West,50,12307.36,76,167.04,4,Bronze,302.0,True,1
C00066,TXN000066,ACC00066,DEV00066,27.74.85.163,MER029,2023-07-09,29.0,Female,East,40,,39,488.3,2,Silver,126.0,True,0
C00067,TXN000067,ACC00067,DEV00067,80.185.75.67,MER041,2023-11-02,74.0,Male,West,109,19161.6,93,205.84,4,Gold,146.0,False,0
C00068,TXN000068,ACC00068,DEV00068,70.84.213.63,MER016,2023-05-07,72.0,Female,North,45,26717.52,65,345.86,2,Bronze,262.0,True,0
C00069,TXN000069,ACC00069,DEV00069,70.244.167.49,MER023,2023-05-31,19.0,Female,East,10,656.8,34,21.38,1,Silver,91.0,True,1
C00070,TXN000070,ACC00070,DEV00070,221.47.42.114,MER001,2023-11-03,60.0,Male,West,57,412.81,2,206.03,10,Silver,58.0,True,0
C00071,TXN000071,ACC00071,DEV00071,176.49.192.40,MER036,2023-05-18,54.0,Male,East,96,34129.53,68,438.8,1,Bronze,352.0,False,0
C00072,TXN000072,ACC00072,DEV00072,199.25.118.163,MER044,2023-10-02,31.0,Male,West,23,6354.89,21,309.01,7,Gold,128.0,True,0
C00073,TXN000073,ACC00073,DEV00073,68.156.175.166,MER039,2023-06-15,65.0,Female,South,56,15767.01,76,227.53,7,Bronze,62.0,False,0
C00074,TXN000074,ACC00074,DEV00074,101.197.186.83,MER022,2023-04-19,24.0,Female,West,16,28367.81,53,468.61,6,Bronze,252.0,True,0
C00075,TXN000075,ACC00075,DEV00075,187.234.208.187,MER003,2023-03-21,32.0,Female,West,83,,47,428.45,10,Gold,80.0,False,0
C00076,TXN000076,ACC00076,DEV00076,195.205.74.184,MER025,2023-08-10,73.0,Male,East,58,2889.21,17,167.89,0,Bronze,284.0,True,0
C00077,TXN000077,ACC00077,DEV00077,51.92.238.72,MER048,2023-06-25,61.0,Female,East,40,23730.97,72,276.83,3,Gold,26.0,True,0
C00078,TXN000078,ACC00078,DEV00078,215.108.54.25,MER005,2023-05-15,24.0,Female,East,28,3717.17,17,250.01,2,Bronze,190.0,True,0
C00079,TXN000079,ACC00079,DEV00079,140.115.130.11,MER011,2023-09-29,26.0,Male,South,68,12363.82,42,319.78,6,Silver,148.0,True,0
C00080,TXN000080,ACC00080,DEV00080,69.2.77.237,MER042,2023-01-01,32.0,Male,East,81,11854.65,84,173.71,6,Bronze,350.0,False,0
C00081,TXN000081,ACC00081,DEV00081,39.176.2.143,MER029,2023-02-03,22.0,Male,West,113,11536.68,93,129.66,9,Silver,191.0,False,0
C00082,TXN000082,ACC00082,DEV00082,234.87.51.145,MER009,2023-12-18,28.0,Male,North,53,39835.46,99,457.21,4,Gold,338.0,False,0
C00083,TXN000083,ACC00083,DEV00083,71.227.216.166,MER002,2023-08-31,51.0,Male,North,20,47618.0,96,462.7,2,Gold,91.0,True,0
C00084,TXN000084,ACC00084,DEV00084,163.154.187.117,MER021,2023-07-20,18.0,Male,South,100,20679.7,56,423.23,10,Platinum,173.0,False,0
C00085,TXN000085,ACC00085,DEV00085,247.88.3.178,MER030,2023-01-06,34.0,Male,South,76,10994.25,21,489.32,7,Silver,298.0,True,1
C00086,TXN000086,ACC00086,DEV00086,169.250.101.108,MER043,2023-08-07,36.0,Male,East,85,28523.59,84,375.05,8,Gold,59.0,False,0
C00087,TXN000087,ACC00087,DEV00087,143.100.200.109,MER045,2023-06-08,74.0,Male,South,12,29355.33,81,384.69,4,Silver,,False,0
C00088,TXN000088,ACC00088,DEV00088,200.109.58.252,MER023,2023-08-07,74.0,Female,East,38,36047.49,100,383.67,4,Platinum,283.0,True,0
C00089,TXN000089,ACC00089,DEV00089,134.180.151.92,MER022,2023-01-15,67.0,Female,North,93,17607.81,66,245.5,4,Silver,248.0,False,0
C00090,TXN000090,ACC00090,DEV00090,247.95.253.110,MER047,2023-07-20,37.0,Male,South,100,3457.95,15,233.66,8,Gold,89.0,True,0
C00091,TXN000091,ACC00091,DEV00091,6.10.248.135,MER039,2023-07-30,48.0,Female,East,53,6151.85,51,127.71,2,Bronze,299.0,True,0
C00092,TXN000092,ACC00092,DEV00092,99.207.157.168,MER011,2023-04-16,47.0,Female,South,97,16737.14,45,325.96,10,Silver,308.0,True,0
C00093,TXN000093,ACC00093,DEV00093,175.51.23.185,MER035,2023-01-20,67.0,Male,East,102,13271.73,85,151.77,1,Gold,107.0,False,0
C00094,TXN000094,ACC00094,DEV00094,6.183.34.67,MER036,2023-12-21,61.0,Male,East,47,4828.98,40,136.33,5,Bronze,215.0,True,0
C00095,TXN000095,ACC00095,DEV00095,180.159.199.156,MER012,2023-09-16,70.0,Male,South,108,11374.11,33,297.12,3,Bronze,23.0,True,0
C00096,TXN000096,ACC00096,DEV00096,13.214.55.35,MER049,2023-08-15,49.0,Female,South,35,1778.55,9,210.89,7,Platinum,144.0,False,1
C00097,TXN000097,ACC00097,DEV00097,224.50.137.124,MER015,2023-10-07,71.0,Male,West,29,8032.08,84,117.24,7,Silver,55.0,True,1
C00098,TXN000098,ACC00098,DEV00098,196.12.28.106,MER028,2023-09-02,61.0,Male,West,82,31082.84,76,409.87,10,Bronze,204.0,False,0
C00099,TXN000099,ACC00099,DEV00099,121.201.154.38,MER025,2023-02-19,60.0,Female,North,77,1833.72,5,431.68,8,Bronze,201.0,True,1
C00100,TXN000100,ACC00100,DEV00100,249.117.246.252,MER035,2023-06-15,56.0,Other,East,17,3631.22,44,92.17,2,Bronze,195.0,True,0
C00101,TXN000101,ACC00101,DEV00101,14.129.108.127,MER046,2023-11-21,37.0,Male,South,100,721.55,48,13.68,2,Silver,248.0,False,0
C00102,TXN000102,ACC00102,DEV00102,79.142.126.48,MER020,2023-04-16,53.0,Female,North,24,6998.16,47,174.7,9,Platinum,338.0,True,0
C00103,TXN000103,ACC00103,DEV00103,74.38.215.173,MER020,2023-12-21,38.0,Female,East,97,41398.79,92,400.78,5,Platinum,72.0,False,0
C00104,TXN000104,ACC00104,DEV00104,99.101.21.74,MER038,2023-01-24,55.0,Female,North,1,7916.96,16,421.2,1,Silver,79.0,True,0
C00105,TXN000105,ACC00105,DEV00105,235.8.38.215,MER048,2023-05-01,32.0,Female,South,96,2513.93,31,77.78,9,Silver,79.0,False,1
C00106,TXN000106,ACC00106,DEV00106,133.9.125.191,MER046,2023-05-08,64.0,Female,East,95,8021.56,19,389.42,7,Bronze,339.0,True,0
C00107,TXN000107,ACC00107,DEV00107,88.98.161.153,MER038,2023-08-14,51.0,Male,West,94,1809.96,25,66.7,0,Gold,34.0,False,0
C00108,TXN000108,ACC00108,DEV00108,230.63.71.40,MER036,2023-03-06,59.0,Male,South,80,21910.74,91,201.13,8,Bronze,12.0,True,0
C00109,TXN000109,ACC00109,DEV00109,169.136.89.177,MER039,2023-03-25,30.0,Female,West,57,44428.72,95,499.32,6,Bronze,59.0,True,0
C00110,TXN000110,ACC00110,DEV00110,96.50.138.111,MER047,2023-08-30,,Male,West,85,451.47,5,104.37,6,Platinum,281.0,True,0
C00111,TXN000111,ACC00111,DEV00111,103.113.233.55,MER001,2023-04-14,64.0,Other,South,34,5510.08,64,85.44,9,Gold,212.0,True,0
C00112,TXN000112,ACC00112,DEV00112,71.144.12.38,MER030,2023-11-17,26.0,Male,North,94,5281.4,24,217.17,5,Bronze,336.0,True,0
C00113,TXN000113,ACC00113,DEV00113,144.130.166.29,MER002,2023-11-14,38.0,Female,East,67,5464.64,20,313.64,5,Silver,75.0,True,0
C00114,TXN000114,ACC00114,DEV00114,217.124.40.80,MER029,2023-04-21,57.0,Male,North,56,14647.63,30,467.12,6,Silver,144.0,True,1
C00115,TXN000115,ACC00115,DEV00115,58.115.120.111,MER020,2023-07-24,68.0,Male,West,61,7905.04,20,490.6,2,Bronze,203.0,False,0
C00116,TXN000116,ACC00116,DEV00116,118.231.244.125,MER016,2023-05-02,60.0,Female,South,69,2583.37,50,44.12,1,Bronze,27.0,True,0
C00117,TXN000117,ACC00117,DEV00117,245.208.209.58,MER045,2023-05-06,45.0,Male,West,5,7031.05,100,77.62,9,Bronze,336.0,True,0
C00118,TXN000118,ACC00118,DEV00118,112.90.25.20,MER036,2023-09-02,35.0,Female,East,17,19131.19,59,397.46,2,Silver,,True,0
C00119,TXN000119,ACC00119,DEV00119,159.107.210.170,MER029,2023-04-17,70.0,Female,South,30,8779.2,73,142.61,5,Silver,53.0,True,0
C00120,TXN000120,ACC00120,DEV00120,22.213.127.144,MER045,2023-02-24,68.0,Female,West,14,19874.59,50,443.58,2,Silver,308.0,False,1
C00121,TXN000121,ACC00121,DEV00121,246.163.6.46,MER005,2023-04-05,70.0,Female,West,53,609.57,2,335.09,2,Bronze,164.0,False,0
C00122,TXN000122,ACC00122,DEV00122,109.10.43.202,MER033,2023-12-06,35.0,Other,West,81,474.21,9,64.8,6,Platinum,123.0,True,0
C00123,TXN000123,ACC00123,DEV00123,37.43.129.24,MER008,2023-04-05,43.0,Female,North,79,10288.44,27,417.94,8,Silver,346.0,False,0
C00124,TXN000124,ACC00124,DEV00124,65.239.161.245,MER012,2023-05-13,32.0,Male,South,57,2114.22,25,96.41,4,Gold,190.0,True,0
C00125,TXN000125,ACC00125,DEV00125,90.157.61.97,MER010,2023-08-18,73.0,Female,West,103,17590.71,85,217.51,1,Bronze,83.0,False,0
C00126,TXN000126,ACC00126,DEV00126,45.212.47.52,MER028,2023-02-06,68.0,Female,West,68,22753.02,85,280.57,2,Silver,296.0,True,0
C00127,TXN000127,ACC00127,DEV00127,118.110.80.91,MER032,2023-04-08,28.0,Male,South,10,20548.35,86,255.38,1,Gold,262.0,True,1
C00128,TXN000128,ACC00128,DEV00128,75.232.148.234,MER038,2023-03-05,32.0,Female,North,92,20632.93,64,346.22,9,Bronze,71.0,True,0
C00129,TXN000129,ACC00129,DEV00129,251.166.210.29,MER023,2023-12-04,50.0,Male,South,69,15438.87,56,329.82,3,Bronze,248.0,True,0
C00130,TXN000130,ACC00130,DEV00130,242.123.182.63,MER047,2023-12-07,42.0,Female,East,77,26122.31,65,496.1,4,Bronze,230.0,False,0
C00131,TXN000131,ACC00131,DEV00131,25.225.115.36,MER019,2023-10-03,44.0,Male,East,68,18047.23,41,499.72,0,Bronze,101.0,True,0
C00132,TXN000132,ACC00132,DEV00132,168.14.115.179,MER008,2023-04-01,39.0,Female,West,67,19725.22,68,263.07,4,Silver,158.0,True,0
C00133,TXN000133,ACC00133,DEV00133,183.116.94.213,MER002,2023-08-13,57.0,Male,North,11,5421.74,80,56.65,10,Bronze,307.0,True,1
C00134,TXN000134,ACC00134,DEV00134,47.19.40.204,MER007,2023-08-30,70.0,Female,South,68,33070.42,77,366.64,4,Bronze,64.0,False,0
C00135,TXN000135,ACC00135,DEV00135,120.10.43.8,MER023,2023-11-14,71.0,Male,South,96,30342.46,62,488.57,7,Silver,264.0,False,0
C00136,TXN000136,ACC00136,DEV00136,207.118.18.57,MER021,2023-02-27,44.0,Female,West,37,1008.56,6,165.98,2,Bronze,304.0,False,0
C00137,TXN000137,ACC00137,DEV00137,157.151.209.7,MER043,2023-09-26,66.0,Female,North,73,15949.57,73,235.99,1,Bronze,342.0,False,0
C00138,TXN000138,ACC00138,DEV00138,18.9.101.185,MER007,2023-03-12,58.0,Female,North,4,8955.59,37,218.14,8,Silver,119.0,False,0
C00139,TXN000139,ACC00139,DEV00139,169.54.167.167,MER014,2023-07-27,29.0,Male,South,42,2919.58,75,35.2,0,Bronze,98.0,True,0
C00140,TXN000140,ACC00140,DEV00140,49.191.108.16,MER050,2023-11-17,64.0,Male,North,53,20852.09,54,339.41,4,Bronze,342.0,True,0
C00141,TXN000141,ACC00141,DEV00141,100.196.177.69,MER002,2023-01-23,38.0,Male,East,118,18878.06,89,183.14,3,Bronze,169.0,True,0
C00142,TXN000142,ACC00142,DEV00142,193.99.117.23,MER022,2023-02-24,54.0,Female,East,26,,34,395.86,0,Bronze,208.0,True,0
C00143,TXN000143,ACC00143,DEV00143,254.214.50.143,MER010,2023-10-24,59.0,Male,East,34,43459.38,94,417.74,5,Silver,188.0,False,0
C00144,TXN000144,ACC00144,DEV00144,199.129.54.247,MER027,2023-01-07,72.0,Female,West,50,39350.2,85,412.4,10,Bronze,188.0,True,0
C00145,TXN000145,ACC00145,DEV00145,69.85.95.227,MER049,2023-09-08,73.0,Male,South,120,6723.88,34,214.17,0,Bronze,228.0,True,0
C00146,TXN000146,ACC00146,DEV00146,128.183.229.236,MER012,2023-07-02,64.0,Female,South,103,,49,167.56,8,Platinum,155.0,False,0
C00147,TXN000147,ACC00147,DEV00147,218.231.241.252,MER019,2023-05-07,47.0,Male,South,5,17051.02,54,376.92,5,Platinum,144.0,True,0
C00148,TXN000148,ACC00148,DEV00148,164.34.29.203,MER023,2023-11-11,41.0,Male,West,29,37136.56,77,402.68,7,Bronze,147.0,True,0
C00149,TXN000149,ACC00149,DEV00149,81.205.238.164,MER040,2023-11-06,43.0,Male,East,99,19168.67,69,250.72,1,Bronze,240.0,True,0
C00150,TXN000150,ACC00150,DEV00150,195.71.111.246,MER050,2023-04-29,73.0,Male,North,7,32230.29,86,447.59,9,Silver,299.0,False,1
C00151,TXN000151,ACC00151,DEV00151,208.52.238.127,MER005,2023-01-02,29.0,Male,East,103,3165.42,37,80.52,0,Gold,203.0,True,0
C00152,TXN000152,ACC00152,DEV00152,215.133.154.42,MER025,2023-02-16,48.0,Male,East,34,18289.5,51,440.74,9,Gold,248.0,True,0
C00153,TXN000153,ACC00153,DEV00153,87.184.214.23,MER038,2023-02-09,57.0,Female,North,111,2783.44,44,57.09,7,Bronze,151.0,True,0
C00154,TXN000154,ACC00154,DEV00154,20.177.114.216,MER001,2023-12-25,19.0,Other,East,36,8684.23,91,85.23,3,Bronze,283.0,False,0
C00155,TXN000155,ACC00155,DEV00155,18.89.10.181,MER041,2023-08-06,54.0,Male,East,53,8763.86,31,271.58,0,Silver,144.0,True,0
C00156,TXN000156,ACC00156,DEV00156,218.40.83.215,MER013,2023-09-05,33.0,Female,North,80,2904.54,59,43.08,6,Gold,154.0,True,0
C00157,TXN000157,ACC00157,DEV00157,11.242.226.39,MER026,2023-03-26,34.0,Male,North,16,391.41,13,35.88,0,Gold,21.0,False,0
C00158,TXN000158,ACC00158,DEV00158,36.176.3.129,MER049,2023-11-07,54.0,Male,East,67,802.49,86,10.25,6,Bronze,96.0,False,0
C00159,TXN000159,ACC00159,DEV00159,17.136.89.180,MER032,2023-09-21,18.0,Male,East,61,8428.57,39,223.8,8,Silver,270.0,True,0
C00160,TXN000160,ACC00160,DEV00160,224.125.164.153,MER050,2023-10-02,27.0,Male,East,95,11139.52,35,389.57,2,Bronze,32.0,True,0
C00161,TXN000161,ACC00161,DEV00161,251.59.61.97,MER031,2023-06-20,,Male,South,120,,59,27.07,2,Silver,82.0,True,0
C00162,TXN000162,ACC00162,DEV00162,188.220.71.28,MER011,2023-09-12,51.0,Female,East,80,14932.74,50,329.61,2,Platinum,284.0,False,0
C00163,TXN000163,ACC00163,DEV00163,155.152.96.47,MER035,2023-07-18,24.0,Female,West,50,33625.63,85,413.33,2,Silver,319.0,True,0
C00164,TXN000164,ACC00164,DEV00164,216.216.190.148,MER031,2023-05-21,38.0,Female,North,49,4835.93,54,92.32,1,Bronze,152.0,False,0
C00165,TXN000165,ACC00165,DEV00165,67.103.18.64,MER016,2023-08-05,35.0,Female,East,51,4908.73,52,81.96,2,Silver,149.0,False,0
C00166,TXN000166,ACC00166,DEV00166,115.111.21.244,MER004,2023-04-29,48.0,Male,North,98,4313.37,11,431.79,7,Silver,186.0,True,0
C00167,TXN000167,ACC00167,DEV00167,69.130.119.120,MER033,2023-12-14,35.0,Female,North,39,1435.29,3,413.33,3,Gold,282.0,True,0
C00168,TXN000168,ACC00168,DEV00168,215.190.221.97,MER029,2023-09-19,18.0,Male,West,21,10638.56,40,274.08,8,Bronze,172.0,False,0
C00169,TXN000169,ACC00169,DEV00169,68.109.143.86,MER039,2023-09-27,48.0,Male,North,41,38307.33,100,411.41,9,Gold,64.0,False,0
C00170,TXN000170,ACC00170,DEV00170,117.39.149.182,MER007,2023-09-19,67.0,Male,East,3,5106.53,92,55.45,8,Bronze,158.0,False,1
C00171,TXN000171,ACC00171,DEV00171,134.222.253.231,MER027,2023-06-13,51.0,Male,East,13,12386.49,63,203.3,5,Bronze,93.0,True,0
C00172,TXN000172,ACC00172,DEV00172,24.224.85.115,MER041,2023-12-13,38.0,Female,West,11,21469.67,64,371.52,3,Bronze,250.0,False,0
C00173,TXN000173,ACC00173,DEV00173,105.73.223.163,MER045,2023-03-17,45.0,Male,East,93,5451.84,40,136.15,10,Bronze,53.0,False,0
C00174,TXN000174,ACC00174,DEV00174,246.243.107.185,MER047,2023-07-27,26.0,Male,East,87,5866.26,18,378.64,2,Bronze,223.0,False,0
C00175,TXN000175,ACC00175,DEV00175,128.126.188.175,MER011,2023-01-26,31.0,Female,West,84,241.83,1,257.05,5,Silver,48.0,True,0
C00176,TXN000176,ACC00176,DEV00176,232.197.159.234,MER009,2023-04-18,43.0,Other,West,56,13177.3,34,377.63,4,Bronze,355.0,True,0
C00177,TXN000177,ACC00177,DEV00177,27.194.100.111,MER029,2023-07-29,52.0,Female,East,87,7342.63,32,237.69,8,Bronze,234.0,True,0
C00178,TXN000178,ACC00178,DEV00178,199.70.225.127,MER024,2023-06-28,46.0,Female,North,20,4298.45,20,190.27,6,Bronze,51.0,False,0
