TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
133.55,1,Atlanta,0,44.0,1,220.0,1.0,3846.28,2024-11-04 08:10:18
143.21,1,Dallas,2,35.0,1,135.0,1.0,6374.82,2024-11-04 08:09:26
24.77,1,Boston,0,62.0,2,55.0,1.0,5866.01,2024-11-04 08:12:15
233.92,0,Jacksonville,2,26.0,3,280.0,1.0,6537.62,2024-11-04 08:08:45
1212.51,1,Indianapolis,1,20.0,3,24.0,1.0,605.95,2024-11-04 08:06:51
91.53,1,Milwaukee,1,44.0,0,69.0,1.0,14676.05,2024-11-04 08:11:36
120.29,1,Miami,1,19.0,3,77.0,1.0,1362.39,2024-11-04 08:06:50
174.25,1,Seattle,2,50.0,0,67.0,1.0,10528.34,2024-11-04 08:10:29
183.71,1,Denver,0,38.0,1,102.0,1.0,552.52,2024-11-04 08:09:51
922.55,1,Detroit,0,63.0,2,87.0,1.0,4715.84,2024-11-04 08:11:07
259.91,1,Denver,2,49.0,0,170.0,1.0,7176.86,2024-11-04 08:09:38
154.71,1,San Diego,2,34.0,0,157.0,1.0,1523.72,2024-11-04 08:09:42
1340.19,0,Austin,2,54.0,1,30.0,1.0,8654.28,2024-11-04 08:06:53
24.56,1,Mesa,1,64.0,0,69.0,1.0,9869.93,2024-11-04 08:12:05
9.61,0,San Diego,2,58.0,0,179.0,1.0,12883.91,2024-11-04 08:09:10
392.96,1,Kansas City,2,24.0,3,100.0,1.0,791.65,2024-11-04 08:08:38
716.93,0,Milwaukee,2,60.0,2,34.0,1.0,4064.02,2024-11-04 08:08:12
223.85,1,Kansas City,0,53.0,1,55.0,4.0,2929.91,2024-11-04 08:08:01
230.66,1,Houston,1,21.0,3,135.0,1.0,618.05,2024-11-04 08:10:44
644.17,1,San Antonio,0,29.0,1,72.0,1.0,1143.52,2024-11-04 08:08:04
508.68,0,Mesa,1,51.0,1,127.0,1.0,7708.41,2024-11-04 08:09:32
858.63,0,San Francisco,1,27.0,3,185.0,1.0,1872.96,2024-11-04 08:10:47
25.36,1,Louisville,0,57.0,1,78.0,1.0,201.04,2024-11-04 08:11:05
147.62,1,Charlotte,1,71.0,2,133.0,1.0,2115.8,2024-11-04 08:07:22
115.02,1,San Antonio,1,37.0,0,175.0,1.0,7643.66,2024-11-04 08:08:38
383.37,1,Fort Worth,1,30.0,1,24.0,1.0,8901.93,2024-11-04 08:11:07
196.16,1,Virginia Beach,1,27.0,1,146.0,1.0,9418.86,2024-11-04 08:08:32
129.94,1,Las Vegas,0,32.0,1,235.0,1.0,7954.92,2024-11-04 08:06:35
306.9,1,Colorado Springs,2,46.0,1,51.0,1.0,9418.08,2024-11-04 08:10:48
114.98,1,Seattle,2,59.0,2,80.0,1.0,6144.68,2024-11-04 08:09:24
756.59,1,Sacramento,1,27.0,3,17.0,1.0,420.65,2024-11-04 08:11:40
503.76,1,Los Angeles,2,22.0,3,35.0,1.0,447.82,2024-11-04 08:09:22
143.03,1,San Antonio,0,63.0,2,147.0,1.0,7981.45,2024-11-04 08:10:42
254.37,0,Dallas,2,51.0,1,174.0,1.0,8849.26,2024-11-04 08:06:56
213.76,0,Dallas,0,78.0,2,282.0,1.0,3528.72,2024-11-04 08:09:36
327.86,1,Fresno,2,40.0,1,104.0,1.0,480.16,2024-11-04 08:06:30
2.5,1,San Diego,2,47.0,0,107.0,1.0,12145.27,2024-11-04 08:09:53
300.08,0,Austin,2,68.0,0,47.0,1.0,13546.75,2024-11-04 08:12:18
56.98,0,Oklahoma City,0,43.0,1,122.0,2.0,5688.37,2024-11-04 08:07:42
115.83,1,Fresno,1,39.0,1,167.0,1.0,6481.04,2024-11-04 08:10:02
53.57,1,Houston,0,69.0,2,121.0,1.0,1651.33,2024-11-04 08:08:43
63.34,0,Detroit,2,46.0,0,165.0,1.0,11174.94,2024-11-04 08:10:13
331.65,1,Portland,2,41.0,1,61.0,1.0,4172.57,2024-11-04 08:11:00
5.04,1,Washington,0,56.0,2,41.0,1.0,5558.36,2024-11-04 08:10:48
214.54,0,Detroit,2,70.0,0,247.0,1.0,11151.53,2024-11-04 08:11:56
598.81,1,Philadelphia,1,57.0,0,158.0,1.0,1415.52,2024-11-04 08:10:13
841.28,1,Tucson,2,26.0,3,80.0,1.0,1103.64,2024-11-04 08:09:58
38.15,1,Mesa,2,26.0,3,108.0,1.0,303.68,2024-11-04 08:07:42
1036.66,1,San Antonio,1,58.0,0,144.0,1.0,5541.57,2024-11-04 08:09:24
124.72,1,Oklahoma City,1,33.0,1,105.0,1.0,6309.8,2024-11-04 08:07:25
302.45,0,San Antonio,1,78.0,2,40.0,1.0,5133.61,2024-11-04 08:11:55
208.04,1,Louisville,2,47.0,1,273.0,1.0,9344.98,2024-11-04 08:08:45
5.77,0,Los Angeles,1,23.0,3,254.0,1.0,1117.97,2024-11-04 08:10:53
381.33,1,Albuquerque,0,56.0,0,75.0,1.0,11835.35,2024-11-04 08:09:32
16.16,1,Milwaukee,0,50.0,0,124.0,1.0,14401.17,2024-11-04 08:11:59
486.08,1,Oklahoma City,2,18.0,3,68.0,1.0,1748.69,2024-11-04 08:07:03
336.39,1,San Antonio,1,21.0,3,18.0,1.0,1000.46,2024-11-04 08:09:57
997.43,1,Seattle,2,69.0,0,118.0,1.0,6810.05,2024-11-04 08:08:25
234.57,1,Chicago,2,23.0,3,120.0,1.0,263.98,2024-11-04 08:08:47
6.0,1,Chicago,2,30.0,0,246.0,1.0,5442.76,2024-11-04 08:09:43
1049.92,1,Detroit,0,80.0,2,21.0,1.0,2037.85,2024-11-04 08:10:34
227.14,1,Charlotte,0,18.0,3,294.0,1.0,341.94,2024-11-04 08:11:34
45.85,1,Los Angeles,0,20.0,3,92.0,1.0,1659.15,2024-11-04 08:07:24
973.39,1,Sacramento,1,77.0,2,296.0,1.0,2042.22,2024-11-04 08:11:44
415.5,1,Memphis,0,66.0,0,141.0,1.0,10113.66,2024-11-04 08:10:23
265.76,1,Philadelphia,2,54.0,2,92.0,1.0,4446.17,2024-11-04 08:12:18
69.4,1,Virginia Beach,2,80.0,2,113.0,1.0,6452.77,2024-11-04 08:09:04
332.93,0,Albuquerque,1,35.0,1,293.0,1.0,2788.2,2024-11-04 08:08:14
267.9,1,San Antonio,2,20.0,3,160.0,1.0,596.16,2024-11-04 08:08:34
496.03,1,San Francisco,1,61.0,0,265.0,1.0,12904.66,2024-11-04 08:09:41
376.26,1,Tucson,0,37.0,1,245.0,1.0,9062.4,2024-11-04 08:09:58
83.02,0,Seattle,2,36.0,1,171.0,1.0,9009.56,2024-11-04 08:11:01
93.26,0,New York,2,20.0,3,72.0,1.0,1152.2,2024-11-04 08:12:04
803.37,0,Memphis,1,68.0,0,129.0,1.0,12168.37,2024-11-04 08:08:40
35.76,1,Charlotte,1,23.0,3,122.0,1.0,611.86,2024-11-04 08:11:40
28.53,1,Washington,2,62.0,0,99.0,1.0,8670.53,2024-11-04 08:06:30
139.53,0,Louisville,2,53.0,0,177.0,1.0,10098.86,2024-11-04 08:07:31
307.57,1,Detroit,1,33.0,0,285.0,1.0,5307.74,2024-11-04 08:06:33
60.65,0,Tucson,1,56.0,2,53.0,1.0,1047.28,2024-11-04 08:09:22
74.86,1,Nashville,1,70.0,0,125.0,1.0,6921.48,2024-11-04 08:07:39
231.91,1,Memphis,0,34.0,1,165.0,1.0,112.76,2024-11-04 08:12:15
126.21,1,Baltimore,1,75.0,2,268.0,1.0,5669.66,2024-11-04 08:08:42
506.28,0,Chicago,2,53.0,2,162.0,2.0,1309.95,2024-11-04 08:09:09
304.35,1,Houston,1,31.0,1,36.0,1.0,4057.1,2024-11-04 08:08:45
281.85,1,Detroit,0,22.0,3,109.0,1.0,1585.98,2024-11-04 08:07:38
777.88,1,Houston,1,31.0,1,17.0,1.0,6825.55,2024-11-04 08:09:15
119.18,1,Los Angeles,1,56.0,2,96.0,1.0,5516.5,2024-11-04 08:07:34
177.19,1,Chicago,2,76.0,2,43.0,1.0,5343.3,2024-11-04 08:06:30
260.88,1,Denver,1,22.0,3,36.0,1.0,903.05,2024-11-04 08:06:52
169.47,1,Chicago,2,24.0,3,19.0,1.0,1806.16,2024-11-04 08:07:37
73.23,1,Portland,1,26.0,3,14.0,1.0,787.74,2024-11-04 08:11:12
792.57,1,Baltimore,0,19.0,3,164.0,1.0,770.37,2024-11-04 08:10:39
237.06,1,Phoenix,2,71.0,2,46.0,1.0,1182.77,2024-11-04 08:07:50
34.17,0,Philadelphia,2,54.0,1,54.0,1.0,726.55,2024-11-04 08:06:29
740.25,1,Philadelphia,2,41.0,0,123.0,1.0,14464.3,2024-11-04 08:08:27
453.54,1,Albuquerque,0,58.0,0,82.0,1.0,12046.3,2024-11-04 08:12:06
300.47,1,Jacksonville,1,73.0,2,100.0,1.0,7885.64,2024-11-04 08:08:00
110.93,0,Virginia Beach,1,19.0,3,201.0,1.0,1952.35,2024-11-04 08:10:53
201.69,1,Las Vegas,0,59.0,0,299.0,1.0,7328.52,2024-11-04 08:10:16
399.21,1,Portland,0,59.0,1,109.0,1.0,3210.39,2024-11-04 08:08:21
1041.88,1,Jacksonville,2,78.0,2,57.0,1.0,5726.2,2024-11-04 08:06:44
630.36,1,Mesa,0,62.0,2,52.0,1.0,1363.65,2024-11-04 08:12:15
10.94,0,Philadelphia,0,60.0,1,245.0,1.0,1241.99,2024-11-04 08:11:53
215.9,1,Los Angeles,0,38.0,0,235.0,1.0,7873.28,2024-11-04 08:10:23
1422.55,1,Washington,1,79.0,2,165.0,1.0,5674.32,2024-11-04 08:06:50
444.89,0,Las Vegas,1,43.0,0,101.0,1.0,10328.23,2024-11-04 08:11:50
280.57,0,Virginia Beach,2,25.0,3,24.0,1.0,293.24,2024-11-04 08:10:24
3.3,0,Los Angeles,1,50.0,0,131.0,1.0,11385.37,2024-11-04 08:10:11
20.36,1,Tucson,1,62.0,2,75.0,1.0,2762.48,2024-11-04 08:11:15
493.11,1,Colorado Springs,1,53.0,2,236.0,1.0,7432.99,2024-11-04 08:08:01
307.41,1,Los Angeles,0,19.0,3,14.0,1.0,1057.0,2024-11-04 08:09:48
11.18,1,Atlanta,2,43.0,0,161.0,1.0,5956.89,2024-11-04 08:10:20
313.82,1,Tucson,1,59.0,1,151.0,1.0,7261.59,2024-11-04 08:08:42
288.04,1,Denver,0,68.0,2,63.0,1.0,1748.02,2024-11-04 08:10:00
800.55,1,Oklahoma City,0,31.0,1,108.0,1.0,9660.22,2024-11-04 08:06:49
485.54,1,Houston,0,46.0,1,143.0,1.0,6371.51,2024-11-04 08:11:46
521.15,1,Kansas City,0,54.0,0,214.0,1.0,9442.47,2024-11-04 08:07:31
304.93,1,Portland,0,65.0,0,158.0,1.0,13531.22,2024-11-04 08:08:15
694.2,1,Milwaukee,0,61.0,2,72.0,1.0,1389.37,2024-11-04 08:07:23
116.86,1,Louisville,0,55.0,1,171.0,1.0,6706.56,2024-11-04 08:12:15
74.88,1,Atlanta,0,25.0,3,202.0,1.0,420.67,2024-11-04 08:07:46
890.24,0,Las Vegas,2,33.0,1,161.0,1.0,5140.93,2024-11-04 08:07:32
361.27,1,Omaha,0,63.0,0,180.0,1.0,7945.57,2024-11-04 08:10:07
131.56,1,Charlotte,1,44.0,0,42.0,1.0,5873.54,2024-11-04 08:07:12
485.51,0,Milwaukee,2,76.0,2,37.0,1.0,3074.45,2024-11-04 08:08:02
547.87,1,Columbus,0,64.0,2,131.0,1.0,6155.76,2024-11-04 08:10:31
457.3,1,Virginia Beach,2,28.0,1,15.0,1.0,8318.29,2024-11-04 08:07:53
506.24,1,Chicago,0,58.0,1,64.0,1.0,230.09,2024-11-04 08:11:40
486.59,1,Indianapolis,1,57.0,2,119.0,1.0,2513.56,2024-11-04 08:10:02
163.68,1,San Diego,1,41.0,0,292.0,1.0,10090.05,2024-11-04 08:11:01
581.65,1,Boston,0,22.0,3,176.0,1.0,480.19,2024-11-04 08:09:39
523.74,1,Oklahoma City,0,43.0,0,159.0,1.0,13498.55,2024-11-04 08:06:52
705.6,1,Phoenix,1,40.0,0,124.0,3.0,14804.7,2024-11-04 08:09:04
91.48,1,Fort Worth,0,51.0,0,141.0,1.0,14942.78,2024-11-04 08:09:17
5.25,1,San Jose,0,39.0,0,49.0,1.0,14143.32,2024-11-04 08:12:22
54.03,0,Milwaukee,0,56.0,2,161.0,1.0,6736.3,2024-11-04 08:07:36
736.73,1,Memphis,1,48.0,1,10.0,1.0,3313.07,2024-11-04 08:10:54
33.06,0,Fort Worth,2,53.0,2,170.0,1.0,1540.87,2024-11-04 08:06:43
66.5,0,Louisville,2,32.0,1,144.0,1.0,6820.23,2024-11-04 08:08:06
588.54,1,Portland,1,32.0,1,130.0,1.0,714.45,2024-11-04 08:10:37
173.5,1,Nashville,0,21.0,3,282.0,1.0,1306.91,2024-11-04 08:11:52
78.33,0,Memphis,2,56.0,1,189.0,1.0,7255.33,2024-11-04 08:08:18
40.66,1,Louisville,1,59.0,2,156.0,1.0,1153.84,2024-11-04 08:11:28
97.22,0,Atlanta,1,77.0,2,55.0,1.0,6647.73,2024-11-04 08:11:17
34.07,1,Philadelphia,1,22.0,3,81.0,1.0,8709.77,2024-11-04 08:07:21
492.06,1,Fresno,2,23.0,3,74.0,1.0,857.9,2024-11-04 08:09:56
842.01,0,Virginia Beach,2,53.0,0,185.0,1.0,509.45,2024-11-04 08:08:33
73.55,1,Atlanta,0,51.0,1,158.0,1.0,2812.06,2024-11-04 08:11:21
760.53,1,Phoenix,2,57.0,1,118.0,1.0,6179.91,2024-11-04 08:09:35
371.69,1,San Francisco,1,67.0,2,143.0,1.0,3484.32,2024-11-04 08:09:59
218.96,1,Seattle,0,18.0,3,13.0,1.0,754.21,2024-11-04 08:10:35
227.39,1,Atlanta,2,18.0,3,65.0,1.0,751.09,2024-11-04 08:11:36
237.99,0,Kansas City,1,39.0,0,86.0,1.0,8510.09,2024-11-04 08:11:36
341.15,1,San Jose,2,18.0,3,148.0,1.0,511.37,2024-11-04 08:10:09
434.58,1,Memphis,0,59.0,0,215.0,1.0,12648.32,2024-11-04 08:08:15
312.88,0,Portland,1,54.0,1,44.0,1.0,233.21,2024-11-04 08:07:23
75.15,1,Boston,0,23.0,3,154.0,1.0,1092.92,2024-11-04 08:11:00
23.3,1,Los Angeles,0,59.0,1,161.0,1.0,6711.15,2024-11-04 08:08:06
47.38,0,Seattle,2,25.0,3,61.0,1.0,459.37,2024-11-04 08:07:05
488.15,1,Louisville,1,43.0,1,168.0,1.0,7071.09,2024-11-04 08:11:13
12.82,1,Fort Worth,0,44.0,1,156.0,1.0,9045.19,2024-11-04 08:08:25
535.91,1,Las Vegas,2,43.0,1,22.0,1.0,9642.12,2024-11-04 08:10:49
270.72,0,Washington,2,26.0,1,53.0,1.0,6263.96,2024-11-04 08:11:05
97.98,1,Denver,1,72.0,2,18.0,1.0,7460.33,2024-11-04 08:08:43
196.08,1,San Francisco,2,61.0,2,98.0,1.0,4233.82,2024-11-04 08:06:31
251.18,1,San Jose,0,42.0,1,246.0,1.0,8303.9,2024-11-04 08:07:55
44.52,1,El Paso,2,28.0,3,205.0,1.0,314.28,2024-11-04 08:10:28
178.87,1,Baltimore,2,35.0,0,180.0,1.0,5241.23,2024-11-04 08:10:16
1176.28,0,Kansas City,0,54.0,1,174.0,5.0,323.69,2024-11-04 08:11:44
386.68,1,New York,1,46.0,0,128.0,1.0,6863.06,2024-11-04 08:06:28
167.14,1,Denver,2,76.0,2,20.0,1.0,3877.73,2024-11-04 08:06:26
345.22,1,Fresno,1,69.0,2,253.0,1.0,4046.58,2024-11-04 08:07:36
74.85,1,Raleigh,0,72.0,2,117.0,1.0,2409.73,2024-11-04 08:11:49
671.73,1,Washington,1,58.0,1,54.0,1.0,5211.88,2024-11-04 08:12:04
255.04,1,Seattle,0,45.0,1,152.0,1.0,6217.86,2024-11-04 08:11:38
45.77,1,Philadelphia,2,25.0,3,109.0,1.0,5978.12,2024-11-04 08:08:01
329.69,0,San Antonio,2,26.0,3,66.0,1.0,1671.66,2024-11-04 08:09:49
362.04,0,Philadelphia,1,58.0,0,198.0,2.0,8421.88,2024-11-04 08:08:47
47.42,1,San Diego,0,64.0,0,28.0,1.0,8253.52,2024-11-04 08:08:56
35.99,1,Miami,1,63.0,2,129.0,1.0,4489.79,2024-11-04 08:09:17
151.19,0,New York,1,37.0,0,96.0,1.0,11903.82,2024-11-04 08:11:16
242.62,0,San Francisco,2,22.0,3,234.0,1.0,483.02,2024-11-04 08:07:09
48.72,1,Virginia Beach,1,21.0,3,17.0,1.0,816.08,2024-11-04 08:07:27
43.46,1,Boston,0,25.0,3,80.0,1.0,578.06,2024-11-04 08:10:45
1036.21,1,Omaha,2,25.0,3,126.0,1.0,477.3,2024-11-04 08:12:22
443.79,1,Las Vegas,0,53.0,2,87.0,1.0,3133.85,2024-11-04 08:11:16
365.14,1,Dallas,2,68.0,2,57.0,1.0,5894.09,2024-11-04 08:07:25
757.41,1,Los Angeles,0,22.0,3,37.0,1.0,9532.42,2024-11-04 08:09:03
20.54,1,Fort Worth,1,51.0,1,72.0,1.0,5327.03,2024-11-04 08:07:28
475.36,1,Phoenix,0,34.0,1,105.0,1.0,2000.6,2024-11-04 08:06:59
34.74,1,San Francisco,0,56.0,2,24.0,1.0,6827.57,2024-11-04 08:11:03
211.18,1,Washington,0,73.0,2,90.0,1.0,4069.17,2024-11-04 08:11:50
211.36,0,Fort Worth,1,51.0,1,286.0,1.0,7943.47,2024-11-04 08:11:10
744.41,0,Houston,2,39.0,1,107.0,1.0,8842.47,2024-11-04 08:11:27
61.43,1,Phoenix,2,24.0,3,170.0,1.0,1882.77,2024-11-04 08:08:18
167.44,1,Mesa,1,37.0,0,82.0,1.0,12526.71,2024-11-04 08:10:49
361.46,1,Nashville,2,21.0,3,83.0,1.0,4737.84,2024-11-04 08:10:42
378.85,1,Virginia Beach,1,78.0,2,126.0,1.0,2300.53,2024-11-04 08:09:07
241.11,1,Columbus,1,30.0,0,55.0,1.0,12385.05,2024-11-04 08:10:49
131.93,0,Fort Worth,1,31.0,1,13.0,1.0,4547.06,2024-11-04 08:06:50
1221.65,1,Denver,2,27.0,3,153.0,1.0,243.92,2024-11-04 08:10:41
485.54,1,Louisville,2,19.0,3,148.0,1.0,1533.32,2024-11-04 08:11:09
321.15,1,Los Angeles,1,46.0,0,179.0,1.0,7005.05,2024-11-04 08:06:33
711.3,1,San Jose,1,21.0,3,51.0,1.0,955.4,2024-11-04 08:09:32
12.23,1,Houston,0,42.0,1,139.0,1.0,7844.88,2024-11-04 08:07:29
350.94,1,Colorado Springs,0,20.0,3,64.0,1.0,221.56,2024-11-04 08:10:35
301.85,1,Columbus,2,54.0,1,25.0,1.0,6586.19,2024-11-04 08:10:05
29.34,1,Louisville,2,65.0,2,30.0,1.0,3944.82,2024-11-04 08:11:42
231.71,1,Raleigh,1,27.0,3,148.0,1.0,1127.98,2024-11-04 08:07:02
179.43,1,Oklahoma City,0,58.0,2,244.0,1.0,2626.63,2024-11-04 08:10:00
36.71,1,Jacksonville,1,48.0,0,55.0,1.0,6459.38,2024-11-04 08:11:44
138.12,0,Los Angeles,1,53.0,0,281.0,1.0,1649.69,2024-11-04 08:11:23
233.24,1,Louisville,0,33.0,1,72.0,1.0,6939.23,2024-11-04 08:07:39
436.64,1,Los Angeles,1,31.0,0,111.0,1.0,14365.18,2024-11-04 08:08:23
870.43,1,Los Angeles,1,29.0,0,55.0,1.0,10115.18,2024-11-04 08:07:52
354.4,1,Chicago,0,74.0,2,128.0,1.0,7358.65,2024-11-04 08:10:00
22.63,1,Kansas City,2,53.0,1,112.0,1.0,4438.03,2024-11-04 08:10:56
182.19,1,Mesa,1,26.0,3,53.0,1.0,1176.1,2024-11-04 08:06:27
126.81,1,Philadelphia,1,26.0,1,290.0,1.0,5427.98,2024-11-04 08:12:22
288.17,1,Virginia Beach,2,37.0,1,50.0,1.0,3653.11,2024-11-04 08:10:16
118.77,1,Atlanta,1,55.0,1,123.0,1.0,2104.82,2024-11-04 08:10:29
651.82,1,Indianapolis,0,21.0,3,166.0,1.0,1802.77,2024-11-04 08:07:02
66.65,1,Detroit,0,37.0,1,33.0,1.0,3559.96,2024-11-04 08:11:00
98.53,1,Denver,1,69.0,2,166.0,1.0,3564.8,2024-11-04 08:11:19
138.95,1,Washington,2,71.0,2,30.0,1.0,6752.92,2024-11-04 08:08:37
33.89,1,Nashville,1,26.0,3,177.0,1.0,1444.75,2024-11-04 08:11:36
23.71,1,Atlanta,1,58.0,0,164.0,1.0,10788.89,2024-11-04 08:09:16
1830.0,1,San Antonio,2,55.0,1,238.0,1.0,2235.7,2024-11-04 08:11:59
26.06,1,San Diego,0,65.0,0,283.0,1.0,12893.63,2024-11-04 08:12:00
17.07,1,Los Angeles,1,27.0,1,44.0,1.0,2798.15,2024-11-04 08:11:25
703.89,1,San Antonio,2,46.0,1,62.0,1.0,3583.67,2024-11-04 08:06:44
1271.9,1,Houston,0,47.0,1,155.0,1.0,2120.8,2024-11-04 08:09:27
26.55,1,Houston,0,77.0,2,228.0,1.0,3085.38,2024-11-04 08:07:23
147.4,1,San Jose,1,42.0,1,259.0,1.0,6797.71,2024-11-04 08:07:18
202.11,1,Memphis,0,27.0,3,18.0,1.0,746.47,2024-11-04 08:10:01
308.42,1,Nashville,1,75.0,2,39.0,1.0,5427.81,2024-11-04 08:06:34
11.18,1,Miami,0,53.0,1,144.0,1.0,7467.3,2024-11-04 08:10:57
294.15,1,Fresno,2,38.0,1,136.0,1.0,6362.16,2024-11-04 08:07:20
139.45,1,Boston,2,27.0,3,31.0,1.0,1305.76,2024-11-04 08:10:08
432.63,1,Colorado Springs,0,29.0,0,137.0,1.0,13648.36,2024-11-04 08:10:24
131.43,1,Charlotte,2,43.0,0,65.0,1.0,1337.5,2024-11-04 08:12:12
516.72,1,Mesa,0,42.0,1,128.0,1.0,2015.69,2024-11-04 08:11:35
