age,gender,region,tenure_months,annual_spend_usd,num_purchases,avg_order_value,returns_count,loyalty_tier,last_purchase_days,email_opt_in,churned,Target
55.0,0,0,90,19319.35,69,308.93,8,0,254.0,1,0,0
42.0,1,2,44,2028.29,15,135.0,4,0,344.0,1,0,0
20.0,0,3,117,18791.29,71,316.48,0,1,24.0,1,0,2
70.0,1,3,50,12307.36,76,167.04,4,0,302.0,1,1,0
74.0,1,3,109,19161.6,93,205.84,4,1,146.0,0,0,2
72.0,0,1,45,26717.52,65,345.86,2,0,262.0,1,0,2
19.0,0,0,10,656.8,34,21.38,1,3,91.0,1,1,1
60.0,1,3,57,412.81,2,206.03,10,3,58.0,1,0,1
54.0,1,0,96,34129.53,68,438.8,1,0,352.0,0,0,2
31.0,1,3,23,6354.89,21,309.01,7,1,128.0,1,0,0
65.0,0,2,56,15767.01,76,227.53,7,0,62.0,0,0,3
24.0,0,3,16,28367.81,53,468.61,6,0,252.0,1,0,2
73.0,1,0,58,2889.21,17,167.89,0,0,284.0,1,0,0
61.0,0,0,40,23730.97,72,276.83,3,1,26.0,1,0,2
24.0,0,0,28,3717.17,17,250.01,2,0,190.0,1,0,0
26.0,1,2,68,12363.82,42,319.78,6,3,148.0,1,0,1
32.0,1,0,81,11854.65,84,173.71,6,0,350.0,0,0,3
22.0,1,3,113,11536.68,93,129.66,9,3,191.0,0,0,3
28.0,1,1,53,39835.46,99,457.21,4,1,338.0,0,0,2
51.0,1,1,20,47618.0,96,462.7,2,1,91.0,1,0,2
18.0,1,2,100,20679.7,56,423.23,10,2,173.0,0,0,2
34.0,1,2,76,10994.25,21,489.32,7,3,298.0,1,1,1
36.0,1,0,85,28523.59,84,375.05,8,1,59.0,0,0,2
74.0,0,0,38,36047.49,100,383.67,4,2,283.0,1,0,2
67.0,0,1,93,17607.81,66,245.5,4,3,248.0,0,0,3
37.0,1,2,100,3457.95,15,233.66,8,1,89.0,1,0,0
48.0,0,0,53,6151.85,51,127.71,2,0,299.0,1,0,0
47.0,0,2,97,16737.14,45,325.96,10,3,308.0,1,0,1
67.0,1,0,102,13271.73,85,151.77,1,1,107.0,0,0,3
61.0,1,0,47,4828.98,40,136.33,5,0,215.0,1,0,0
70.0,1,2,108,11374.11,33,297.12,3,0,23.0,1,0,0
49.0,0,2,35,1778.55,9,210.89,7,2,144.0,0,1,3
71.0,1,3,29,8032.08,84,117.24,7,3,55.0,1,1,1
61.0,1,3,82,31082.84,76,409.87,10,0,204.0,0,0,2
60.0,0,1,77,1833.72,5,431.68,8,0,201.0,1,1,0
56.0,2,0,17,3631.22,44,92.17,2,0,195.0,1,0,0
37.0,1,2,100,721.55,48,13.68,2,3,248.0,0,0,3
53.0,0,1,24,6998.16,47,174.7,9,2,338.0,1,0,1
38.0,0,0,97,41398.79,92,400.78,5,2,72.0,0,0,2
55.0,0,1,1,7916.96,16,421.2,1,3,79.0,1,0,1
32.0,0,2,96,2513.93,31,77.78,9,3,79.0,0,1,3
64.0,0,0,95,8021.56,19,389.42,7,0,339.0,1,0,0
51.0,1,3,94,1809.96,25,66.7,0,1,34.0,0,0,3
59.0,1,2,80,21910.74,91,201.13,8,0,12.0,1,0,2
30.0,0,3,57,44428.72,95,499.32,6,0,59.0,1,0,2
64.0,2,2,34,5510.08,64,85.44,9,1,212.0,1,0,0
26.0,1,1,94,5281.4,24,217.17,5,0,336.0,1,0,0
38.0,0,0,67,5464.64,20,313.64,5,3,75.0,1,0,1
57.0,1,1,56,14647.63,30,467.12,6,3,144.0,1,1,1
68.0,1,3,61,7905.04,20,490.6,2,0,203.0,0,0,3
60.0,0,2,69,2583.37,50,44.12,1,0,27.0,1,0,0
45.0,1,3,5,7031.05,100,77.62,9,0,336.0,1,0,0
70.0,0,2,30,8779.2,73,142.61,5,3,53.0,1,0,1
68.0,0,3,14,19874.59,50,443.58,2,3,308.0,0,1,2
70.0,0,3,53,609.57,2,335.09,2,0,164.0,0,0,3
35.0,2,3,81,474.21,9,64.8,6,2,123.0,1,0,1
43.0,0,1,79,10288.44,27,417.94,8,3,346.0,0,0,3
32.0,1,2,57,2114.22,25,96.41,4,1,190.0,1,0,0
73.0,0,3,103,17590.71,85,217.51,1,0,83.0,0,0,3
68.0,0,3,68,22753.02,85,280.57,2,3,296.0,1,0,2
28.0,1,2,10,20548.35,86,255.38,1,1,262.0,1,1,2
32.0,0,1,92,20632.93,64,346.22,9,0,71.0,1,0,0
50.0,1,2,69,15438.87,56,329.82,3,0,248.0,1,0,0
42.0,0,0,77,26122.31,65,496.1,4,0,230.0,0,0,2
44.0,1,0,68,18047.23,41,499.72,0,0,101.0,1,0,0
39.0,0,3,67,19725.22,68,263.07,4,3,158.0,1,0,1
57.0,1,1,11,5421.74,80,56.65,10,0,307.0,1,1,0
70.0,0,2,68,33070.42,77,366.64,4,0,64.0,0,0,2
71.0,1,2,96,30342.46,62,488.57,7,3,264.0,0,0,2
44.0,0,3,37,1008.56,6,165.98,2,0,304.0,0,0,3
66.0,0,1,73,15949.57,73,235.99,1,0,342.0,0,0,3
58.0,0,1,4,8955.59,37,218.14,8,3,119.0,0,0,3
29.0,1,2,42,2919.58,75,35.2,0,0,98.0,1,0,0
64.0,1,1,53,20852.09,54,339.41,4,0,342.0,1,0,0
38.0,1,0,118,18878.06,89,183.14,3,0,169.0,1,0,0
59.0,1,0,34,43459.38,94,417.74,5,3,188.0,0,0,2
72.0,0,3,50,39350.2,85,412.4,10,0,188.0,1,0,2
73.0,1,2,120,6723.88,34,214.17,0,0,228.0,1,0,0
47.0,1,2,5,17051.02,54,376.92,5,2,144.0,1,0,1
41.0,1,3,29,37136.56,77,402.68,7,0,147.0,1,0,2
43.0,1,0,99,19168.67,69,250.72,1,0,240.0,1,0,0
73.0,1,1,7,32230.29,86,447.59,9,3,299.0,0,1,2
29.0,1,0,103,3165.42,37,80.52,0,1,203.0,1,0,0
48.0,1,0,34,18289.5,51,440.74,9,1,248.0,1,0,0
57.0,0,1,111,2783.44,44,57.09,7,0,151.0,1,0,0
19.0,2,0,36,8684.23,91,85.23,3,0,283.0,0,0,3
54.0,1,0,53,8763.86,31,271.58,0,3,144.0,1,0,1
33.0,0,1,80,2904.54,59,43.08,6,1,154.0,1,0,0
34.0,1,1,16,391.41,13,35.88,0,1,21.0,0,0,3
54.0,1,0,67,802.49,86,10.25,6,0,96.0,0,0,3
18.0,1,0,61,8428.57,39,223.8,8,3,270.0,1,0,1
27.0,1,0,95,11139.52,35,389.57,2,0,32.0,1,0,0
51.0,0,0,80,14932.74,50,329.61,2,2,284.0,0,0,3
24.0,0,3,50,33625.63,85,413.33,2,3,319.0,1,0,2
38.0,0,1,49,4835.93,54,92.32,1,0,152.0,0,0,3
35.0,0,0,51,4908.73,52,81.96,2,3,149.0,0,0,3
48.0,1,1,98,4313.37,11,431.79,7,3,186.0,1,0,1
35.0,0,1,39,1435.29,3,413.33,3,1,282.0,1,0,0
18.0,1,3,21,10638.56,40,274.08,8,0,172.0,0,0,3
48.0,1,1,41,38307.33,100,411.41,9,1,64.0,0,0,2
67.0,1,0,3,5106.53,92,55.45,8,0,158.0,0,1,3
51.0,1,0,13,12386.49,63,203.3,5,0,93.0,1,0,0
38.0,0,3,11,21469.67,64,371.52,3,0,250.0,0,0,2
45.0,1,0,93,5451.84,40,136.15,10,0,53.0,0,0,3
26.0,1,0,87,5866.26,18,378.64,2,0,223.0,0,0,3
31.0,0,3,84,241.83,1,257.05,5,3,48.0,1,0,1
43.0,2,3,56,13177.3,34,377.63,4,0,355.0,1,0,0
52.0,0,0,87,7342.63,32,237.69,8,0,234.0,1,0,0
46.0,0,1,20,4298.45,20,190.27,6,0,51.0,0,0,3
73.0,0,1,109,2755.37,26,117.4,8,0,350.0,0,0,3
54.0,1,2,61,399.53,3,112.11,10,1,210.0,1,0,0
19.0,1,0,113,25699.68,61,378.23,4,2,222.0,1,0,2
48.0,1,0,19,7536.63,93,68.27,9,0,24.0,1,0,0
51.0,1,3,60,4142.66,70,52.13,1,1,69.0,1,0,0
20.0,2,1,84,3716.21,45,96.38,10,1,295.0,0,0,3
40.0,0,1,60,4168.21,43,95.92,1,2,171.0,1,0,1
68.0,2,1,54,11121.5,31,413.32,9,0,225.0,1,0,0
44.0,0,0,46,30717.83,60,495.29,10,3,157.0,1,1,2
30.0,0,1,29,3985.58,57,77.23,1,1,140.0,1,0,0
22.0,0,3,37,386.98,1,330.23,5,1,293.0,1,0,0
36.0,1,2,83,8168.81,42,229.88,9,3,25.0,1,0,1
62.0,1,0,76,5815.7,28,202.53,0,0,167.0,1,0,0
75.0,0,3,73,8596.55,18,438.79,2,1,313.0,0,0,3
56.0,1,1,44,28536.33,71,488.04,0,1,84.0,1,0,2
66.0,0,3,116,24106.13,53,437.7,3,0,111.0,1,0,2
55.0,1,3,11,7513.64,64,104.23,4,3,173.0,1,0,1
56.0,0,3,42,7037.6,72,118.19,6,3,28.0,1,0,1
42.0,1,1,15,32977.23,99,331.48,2,3,26.0,1,0,2
41.0,0,1,116,24830.45,63,370.02,1,1,328.0,1,0,2
68.0,1,2,44,21444.74,88,287.55,10,2,81.0,0,1,2
62.0,1,3,60,47685.45,99,415.99,2,0,156.0,0,0,2
20.0,1,3,84,24114.2,77,358.16,2,0,278.0,1,0,2
29.0,1,2,55,1411.91,66,23.02,0,0,121.0,1,0,0
35.0,0,3,32,3224.12,91,34.23,10,0,320.0,1,0,0
38.0,0,3,92,17229.82,52,304.76,7,0,136.0,1,0,0
75.0,1,3,117,17705.14,73,248.23,8,3,289.0,1,0,1
44.0,1,3,32,3439.03,29,137.49,3,0,304.0,0,0,3
56.0,0,0,94,17564.26,97,215.14,7,0,158.0,1,0,0
55.0,0,1,32,28830.07,63,381.38,0,1,244.0,1,0,2
42.0,1,2,87,32202.59,79,415.04,7,0,44.0,0,0,2
74.0,1,3,95,15391.03,47,285.0,6,3,182.0,1,1,1
30.0,1,2,54,17176.26,87,198.83,3,2,137.0,1,0,1
20.0,1,1,89,1333.9,8,142.64,7,3,349.0,1,0,1
61.0,0,3,33,2663.05,12,265.74,7,0,341.0,1,1,0
55.0,2,2,10,7082.58,51,164.23,4,0,286.0,0,1,3
33.0,2,3,12,24836.65,74,286.41,2,3,347.0,1,0,2
68.0,0,2,54,32618.56,81,341.56,0,3,357.0,1,0,2
32.0,2,2,16,644.18,65,10.52,3,3,217.0,1,0,1
26.0,1,2,55,6263.68,56,114.02,3,3,75.0,1,0,1
28.0,1,2,85,42027.75,97,448.31,7,0,298.0,1,0,2
60.0,0,2,25,18887.72,66,326.68,2,3,71.0,1,0,1
58.0,1,3,87,4589.77,42,94.26,4,0,68.0,1,0,0
55.0,0,2,37,39013.15,97,446.23,7,0,322.0,1,0,2
22.0,0,3,70,19914.75,99,243.28,7,0,52.0,0,0,2
53.0,0,2,66,6111.95,16,468.42,0,3,187.0,0,0,3
24.0,1,1,22,1205.17,29,39.15,4,3,214.0,0,0,3
73.0,1,1,56,8964.53,83,115.44,5,0,17.0,1,0,0
54.0,0,2,103,23347.03,74,297.03,6,2,139.0,0,1,2
62.0,0,0,3,8683.84,98,105.79,1,0,83.0,1,0,0
51.0,0,3,92,30351.32,75,342.97,1,0,111.0,0,0,2
40.0,1,1,60,8085.29,64,114.91,8,2,67.0,0,0,3
57.0,1,0,87,2359.29,35,58.59,7,1,248.0,1,1,0
66.0,1,2,80,95.22,1,111.42,8,3,173.0,1,0,1
28.0,0,2,52,2619.76,13,217.14,2,0,351.0,0,0,3
68.0,0,2,38,2737.14,30,96.31,10,0,4.0,0,0,3
22.0,1,1,17,20220.29,51,431.54,7,0,333.0,0,0,3
72.0,0,1,71,10736.07,78,166.99,1,0,178.0,1,0,0
28.0,1,0,12,17166.49,97,186.77,10,1,256.0,1,1,0
52.0,1,1,78,1638.53,49,37.08,3,0,161.0,1,0,0
25.0,1,2,76,15546.36,88,185.11,8,0,218.0,0,0,3
29.0,0,1,11,12159.06,99,139.76,3,0,332.0,1,1,0
55.0,1,1,91,24053.95,86,309.14,8,3,194.0,1,0,2
57.0,1,1,50,5464.14,47,110.64,4,3,212.0,1,0,1
37.0,0,1,5,42801.3,98,465.54,2,0,182.0,1,0,2
65.0,1,1,22,1492.98,25,58.92,7,0,64.0,1,0,0
67.0,0,2,23,506.3,8,66.51,3,0,253.0,1,0,0
53.0,0,1,80,5379.98,65,69.76,2,2,266.0,1,0,1
66.0,1,2,22,12127.79,55,267.77,8,0,226.0,1,1,0
68.0,1,2,71,39223.12,81,498.37,10,2,222.0,1,0,2
31.0,2,3,96,922.34,27,31.65,1,3,227.0,1,1,1
47.0,1,3,21,22956.66,93,206.62,4,3,61.0,0,0,2
37.0,0,3,36,7466.43,45,168.73,2,2,351.0,1,0,1
47.0,0,1,112,32992.11,83,474.84,9,3,109.0,1,0,2
39.0,1,2,119,7198.06,24,292.66,5,3,288.0,1,0,1
18.0,0,2,70,1378.12,4,405.03,1,0,362.0,1,0,0
71.0,1,0,54,617.24,6,93.47,7,3,88.0,1,0,1
54.0,0,3,42,18659.26,38,489.53,0,3,232.0,0,0,3
44.0,0,2,74,26597.77,96,254.33,3,0,16.0,1,0,2
24.0,0,0,71,1445.58,5,251.9,7,1,233.0,1,0,0
22.0,1,2,36,18898.99,37,485.73,5,3,161.0,1,0,1
45.0,0,1,3,2259.4,11,196.56,8,0,27.0,1,1,0
55.0,0,2,19,21210.48,94,204.79,6,0,246.0,0,0,2
33.0,0,0,116,22926.15,68,296.53,9,3,354.0,1,0,1
61.0,0,2,51,6428.69,77,72.75,6,0,31.0,1,0,0
40.0,1,0,58,9813.77,72,167.33,0,0,326.0,1,0,0
18.0,0,0,57,7063.49,66,104.67,0,3,308.0,1,0,1
49.0,1,2,94,4191.04,78,60.61,8,0,200.0,1,0,0
28.0,1,3,8,497.03,1,434.41,0,0,330.0,1,0,0
18.0,0,1,10,27535.91,87,298.77,4,3,113.0,1,1,2
25.0,0,3,34,13306.87,74,185.75,0,0,263.0,1,0,0
47.0,1,2,81,8287.25,40,221.44,6,2,212.0,1,1,1
75.0,1,3,59,28053.79,81,320.24,1,3,305.0,1,0,2
30.0,0,0,53,15960.16,39,464.12,5,2,320.0,0,0,3
21.0,1,2,113,1955.66,5,467.06,10,1,287.0,1,1,0
29.0,0,3,20,21217.23,91,201.83,0,0,215.0,0,1,2
36.0,0,1,69,4546.75,24,171.34,0,1,357.0,0,0,3
29.0,1,0,66,2235.97,11,231.01,2,0,203.0,1,0,0
36.0,1,0,57,16653.43,63,288.29,9,3,233.0,1,0,1
74.0,1,1,97,6741.8,24,236.29,4,3,69.0,0,0,3
40.0,0,3,33,31003.23,86,332.79,7,0,118.0,1,0,2
54.0,0,3,115,13235.03,45,281.66,0,0,331.0,1,0,0
57.0,1,1,40,154.29,1,167.15,8,2,182.0,1,0,1
32.0,1,1,63,8293.94,52,195.51,7,0,298.0,0,0,3
42.0,1,2,102,1661.09,27,56.37,1,0,120.0,0,0,3
44.0,0,2,53,5077.83,68,91.37,9,3,97.0,0,0,3
18.0,0,0,35,15777.28,54,364.33,3,1,4.0,0,0,3
55.0,1,0,3,657.24,3,200.66,2,1,85.0,1,1,0
35.0,0,1,44,10320.02,76,115.12,3,3,187.0,1,0,1
36.0,1,2,100,12915.99,41,285.71,0,0,265.0,0,0,3
52.0,1,3,2,26312.78,70,380.21,1,0,121.0,0,0,2
73.0,0,3,108,12184.21,90,136.14,6,3,163.0,0,0,3
68.0,1,2,66,25080.57,62,415.13,3,1,81.0,0,0,2
74.0,1,1,17,29369.21,68,464.48,3,1,299.0,1,0,2
41.0,0,1,37,7939.08,26,302.72,8,3,192.0,1,0,1
24.0,0,2,67,7883.46,24,337.78,1,3,53.0,0,0,3
30.0,1,2,38,1560.9,42,35.76,4,3,223.0,1,0,1
37.0,0,2,14,47185.8,86,473.3,2,3,123.0,1,0,2
35.0,1,1,80,12846.15,53,202.32,5,3,316.0,1,0,1
30.0,0,2,81,13465.97,35,462.71,3,3,98.0,1,0,1
28.0,0,2,34,919.7,86,12.26,0,2,255.0,1,0,1
56.0,1,1,30,2473.48,91,28.89,9,3,50.0,1,0,1
46.0,0,3,80,9426.49,30,343.41,0,0,278.0,1,0,0
20.0,0,2,88,17644.55,71,285.71,8,0,264.0,1,0,0
50.0,1,2,88,1525.77,60,23.0,10,3,167.0,1,0,1
66.0,0,3,113,16818.5,45,374.3,5,3,59.0,0,0,3
42.0,1,0,93,19969.98,40,427.55,3,3,175.0,1,0,1
36.0,0,1,39,2470.72,12,253.24,8,1,223.0,1,0,0
40.0,1,1,74,670.42,55,12.68,1,3,125.0,1,0,1
34.0,0,0,110,29286.93,89,395.46,10,1,257.0,0,0,2
71.0,1,2,118,13547.73,87,172.05,10,3,202.0,1,0,1
75.0,0,2,28,9998.67,19,440.59,1,3,363.0,1,0,1
37.0,0,0,29,11584.14,68,192.8,0,0,80.0,0,0,3
71.0,1,0,5,2270.22,9,286.89,7,3,284.0,1,0,1
67.0,1,1,17,9973.33,68,142.47,0,1,156.0,0,0,3
22.0,0,1,67,3101.66,35,88.69,6,2,82.0,0,0,3
46.0,0,3,66,18100.74,45,389.7,0,3,348.0,1,0,1
56.0,1,3,45,17340.43,72,253.33,7,0,228.0,0,0,3
42.0,1,3,38,13267.51,43,272.88,2,3,196.0,1,0,1
44.0,0,3,100,33470.54,81,483.05,1,1,108.0,1,0,2
46.0,0,2,56,25290.35,54,482.15,0,0,322.0,1,0,2
57.0,0,3,97,46184.29,100,429.26,2,1,12.0,1,0,2
35.0,1,3,116,7484.4,64,101.93,5,0,43.0,1,0,0
52.0,0,3,39,8564.3,30,301.19,0,0,66.0,1,0,0
32.0,0,1,25,35273.24,78,440.29,8,0,239.0,1,0,2
69.0,1,1,115,6565.87,41,193.49,6,0,38.0,1,0,0
22.0,1,2,77,2791.17,54,59.54,3,1,291.0,1,0,0
21.0,1,0,35,4720.27,14,407.37,10,3,72.0,1,0,1
20.0,0,3,75,3221.87,12,246.06,7,0,247.0,1,0,0
38.0,1,2,62,15210.93,58,286.55,7,3,291.0,1,0,1
53.0,0,3,109,10169.1,19,491.25,1,0,321.0,0,0,3
75.0,0,3,31,25419.18,100,307.53,7,0,107.0,1,0,2
28.0,0,1,113,15404.4,71,191.29,10,3,277.0,1,0,1
39.0,0,1,22,13271.06,74,214.63,5,0,164.0,1,0,0
25.0,1,1,20,3303.74,60,68.02,7,1,347.0,0,0,3
60.0,0,0,6,19198.31,40,420.48,0,1,210.0,1,0,0
20.0,1,2,36,6675.06,50,149.35,1,1,44.0,1,0,0
63.0,0,1,53,14897.33,92,158.86,9,0,178.0,1,0,0
31.0,0,0,117,9360.68,22,438.42,8,0,1.0,1,0,0
56.0,1,0,120,1216.05,50,21.75,4,2,274.0,1,0,1
65.0,2,2,19,9234.51,35,265.02,7,3,221.0,1,1,1
63.0,0,2,108,3321.68,14,237.2,0,3,36.0,0,0,3
56.0,0,0,11,4579.0,11,348.16,0,0,183.0,1,1,0
58.0,1,0,90,2865.88,37,90.06,5,0,157.0,1,0,0
28.0,1,0,102,3439.1,9,337.48,6,3,246.0,0,0,3
40.0,0,2,27,11173.32,36,313.17,8,0,168.0,0,0,3
53.0,0,0,108,718.87,21,29.65,2,1,304.0,1,0,0
53.0,0,3,14,14104.31,56,236.25,8,3,190.0,1,1,1
63.0,1,1,63,571.2,2,265.9,5,0,298.0,0,0,3
35.0,0,2,57,3228.05,31,115.02,9,0,324.0,1,0,0
68.0,0,1,38,3489.83,46,78.42,1,0,310.0,0,0,3
44.0,0,2,3,9398.12,97,102.35,0,3,349.0,1,0,1
32.0,0,1,93,11530.38,64,178.63,0,3,255.0,0,0,3
25.0,1,1,80,15447.49,35,474.19,0,0,194.0,1,0,0
41.0,0,0,50,8650.39,45,208.45,10,3,75.0,1,0,1
62.0,0,3,107,41042.03,89,487.46,1,3,254.0,1,1,2
32.0,1,2,12,4091.56,96,49.56,9,3,319.0,1,0,1
27.0,2,2,89,36698.65,97,329.32,1,0,257.0,0,0,2
19.0,1,1,90,34567.84,76,436.99,1,3,176.0,1,0,2
23.0,1,0,46,13962.88,51,320.77,6,0,108.0,1,0,0
65.0,1,1,32,13051.32,55,220.22,3,0,360.0,1,0,0
63.0,1,1,1,24947.57,99,221.23,3,0,268.0,1,1,2
47.0,1,3,113,716.11,29,27.59,2,3,320.0,1,0,1
51.0,0,0,114,8187.98,35,271.95,6,3,214.0,1,0,1
29.0,1,0,4,15322.47,39,479.77,2,1,13.0,1,1,0
18.0,0,2,15,790.22,24,29.8,6,1,26.0,1,0,0
56.0,0,1,9,24235.5,57,355.84,5,0,258.0,1,1,2
20.0,0,2,100,4261.02,33,157.86,7,3,82.0,0,0,3
24.0,1,3,108,44762.12,90,452.46,2,0,30.0,1,0,2
63.0,1,1,19,2421.6,91,32.11,7,2,284.0,1,0,1
51.0,0,2,90,15061.31,31,468.58,8,0,227.0,1,0,0
46.0,0,3,22,24561.13,53,420.36,4,0,41.0,1,0,2
30.0,0,2,45,6313.63,99,67.58,2,3,183.0,0,0,3
26.0,1,1,72,2371.5,75,39.31,6,0,172.0,1,0,0
45.0,0,2,87,9569.21,22,419.01,6,3,2.0,0,1,3
38.0,0,0,105,6196.9,60,86.32,1,3,221.0,0,0,3
48.0,0,3,6,15234.58,62,272.1,6,0,145.0,0,0,3
27.0,0,0,24,26514.62,66,458.71,1,3,321.0,0,0,2
31.0,0,1,34,734.16,3,288.05,6,1,43.0,1,0,0
24.0,0,3,38,6274.89,30,204.64,10,1,310.0,0,0,3
42.0,0,3,120,20369.8,86,228.06,5,3,3.0,0,0,2
34.0,0,0,94,1142.88,25,40.93,8,0,279.0,1,0,0
30.0,0,3,39,16012.65,30,484.69,3,0,286.0,1,0,0
49.0,1,3,117,6193.81,33,162.22,10,1,149.0,1,0,0
46.0,0,1,60,2076.52,18,102.79,8,1,103.0,1,0,0
30.0,0,2,61,2159.68,16,150.16,10,3,52.0,1,0,1
58.0,0,0,53,17266.38,35,482.54,8,1,125.0,0,1,3
37.0,1,2,18,4544.83,88,56.2,7,0,245.0,1,1,0
37.0,0,0,113,405.36,1,434.98,5,3,265.0,1,0,1
45.0,0,0,2,12136.33,29,356.84,10,0,67.0,1,1,0
26.0,1,1,21,3129.2,7,416.71,9,0,5.0,1,0,0
51.0,1,1,34,10623.94,26,422.66,0,0,212.0,0,0,3
25.0,2,0,16,38346.57,80,472.26,0,2,358.0,1,0,2
50.0,0,2,3,4237.85,59,72.2,2,0,278.0,0,0,3
20.0,0,1,82,26632.11,79,399.94,0,1,201.0,0,0,2
53.0,1,3,117,15882.66,64,277.38,2,1,217.0,0,0,3
28.0,0,1,36,32408.9,87,450.47,10,2,165.0,0,0,2
38.0,2,2,61,27364.19,48,486.18,1,3,248.0,0,0,2
53.0,1,3,112,28680.51,95,355.37,6,0,72.0,0,0,2
59.0,1,1,84,21684.4,100,246.64,3,0,304.0,1,0,2
45.0,0,2,92,15247.72,59,233.64,1,0,315.0,0,0,3
40.0,0,3,51,5645.89,26,187.18,10,3,167.0,1,0,1
23.0,1,1,104,3037.26,68,53.98,10,0,299.0,0,0,3
59.0,1,0,97,4697.32,91,47.94,6,3,65.0,1,0,1
40.0,0,1,4,11145.24,27,392.14,7,1,125.0,1,0,0
18.0,0,0,86,19916.69,79,228.58,1,0,225.0,0,0,3
58.0,0,2,11,25306.62,48,466.04,9,1,254.0,1,1,2
19.0,1,0,89,6404.23,19,309.99,8,3,108.0,1,0,1
39.0,0,1,100,507.22,18,27.24,2,1,43.0,0,0,3
29.0,1,0,16,4616.9,57,87.19,3,0,186.0,0,0,3
